26.8421	110.158	0
29.7222	249.111	1
38.375	144.25	0
44.0001	283	1
43.7894	73.4209	0
46.5265	209.474	1
80.5264	56.4737	0
80.7223	302.944	1
80.7223	166.945	0
80.7223	110.111	0
83.579	249.211	1
83.7501	192.625	1
120.471	73.353	0
123.333	147.056	0
126.21	283	1
126.235	212.235	1
137.445	110.222	0
140.333	249	1
171.445	249.222	2
171.368	110.368	3
185.526	144.474	3
185.722	285.944	2
188.389	212.5	2
188.389	73.5001	3
222.5	303.167	2
222.579	164.211	3
225.333	249	2
225.437	195.25	2
225.333	110	3
225.4	56.4	3
265	286	2
265.056	212.278	2
265.056	144.278	3
265.056	73.2779	3
279.333	249	2
279.333	110	3
